ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
T815,Foreign body accidentally left in body cavity or operation wound following a procedure,No,,
T816,Acute reaction to foreign substance accidentally left during a procedure,No,,
T817,"Vascular complications following a procedure, not elsewhere classified",No,,
T818,"Other complications of procedures, not elsewhere classified",No,,
T819,Unspecified complication of procedure,No,,
T820,Mechanical complication of heart valve prosthesis,No,,
T821,Mechanical complication of cardiac electronic device,No,,
T822,Mechanical complication of coronary artery bypass and valve grafts,No,,
T823,Mechanical complication of other vascular grafts,No,,
T824,Mechanical complication of vascular dialysis catheter,No,,
T825,Mechanical complication of other cardiac and vascular devices and implants,No,,
T826,Infection and inflammatory reaction due to cardiac valve prosthesis,No,,
T827,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",No,,
T828,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",No,,
T829,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft",No,,
T830,Mechanical complication of urinary (indwelling) catheter,No,,
T831,Mechanical complication of other urinary devices and implants,No,,
T832,Mechanical complication of graft of urinary organ,No,,
T833,Mechanical complication of intrauterine contraceptive device,No,,
T834,"Mechanical complication of other prosthetic devices, implants and grafts in genital tract",No,,
T835,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",No,,
T836,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract",No,,
T838,"Other complications of genitourinary prosthetic devices, implants and grafts",No,,
T839,"Unspecified complication of genitourinary prosthetic device, implant and graft",No,,
T840,Mechanical complication of internal joint prosthesis,No,,
T841,Mechanical complication of internal fixation device of bones of limb,No,,
T842,Mechanical complication of internal fixation device of other bones,No,,
T843,"Mechanical complication of other bone devices, implants and grafts",No,,
T844,"Mechanical complication of other internal orthopaedic devices, implants and grafts",No,,
T845,Infection and inflammatory reaction due to internal joint prosthesis,No,,
T846,Infection and inflammatory reaction due to internal fixation device [any site],No,,
T847,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts",No,,
T848,"Other complications of internal orthopaedic prosthetic devices, implants and grafts",No,,
T849,"Unspecified complication of internal orthopaedic prosthetic device, implant and graft",No,,
T850,Mechanical complication of ventricular intracranial (communicating) shunt,No,,
T851,Mechanical complication of implanted electronic stimulator of nervous system,Yes,1,
T852,Mechanical complication of intraocular lens,No,,
T853,"Mechanical complication of other ocular prosthetic devices, implants and grafts",No,,
T854,Mechanical complication of breast prosthesis and implant,No,,
T855,"Mechanical complication of gastrointestinal prosthetic devices, implants and grafts",No,,
T856,"Mechanical complication of other specified internal prosthetic devices, implants and grafts",No,,
T857,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts",No,,
T858,"Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified",No,,
T859,"Unspecified complication of internal prosthetic device, implant and graft",No,,
T860,Bone-marrow transplant rejection,No,,
T861,Kidney transplant failure and rejection,No,,
T862,Heart transplant failure and rejection,Yes,2,
T863,Heart-lung transplant failure and rejection,Yes,2,
T864,Liver transplant failure and rejection,Yes,2,
T868,Failure and rejection of other transplanted organs and tissues,No,,
T869,Failure and rejection of unspecified transplanted organ and tissue,No,,
T870,Complications of reattached (part of) upper extremity,No,,
T871,Complications of reattached (part of) lower extremity,No,,
T872,Complications of other reattached body part,No,,
T873,Neuroma of amputation stump,No,,
T874,Infection of amputation stump,No,,
T875,Necrosis of amputation stump,No,,
T876,Other and unspecified complications of amputation stump,No,,
T880,Infection following immunization,No,,
T881,"Other complications following immunization, not elsewhere classified",No,,
T882,Shock due to anaesthesia,Yes,1,
T883,Malignant hyperthermia due to anaesthesia,Yes,2,
T884,Failed or difficult intubation,Yes,2,
T885,Other complications of anaesthesia,Yes,2,
T886,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,Yes,1,
T887,Unspecified adverse effect of drug or medicament,No,,
T888,"Other specified complications of surgical and medical care, not elsewhere classified",No,,
T889,"Complication of surgical and medical care, unspecified",No,,
T900,Sequelae of superficial injury of head,No,,
T901,Sequelae of open wound of head,No,,
T902,Sequelae of fracture of skull and facial bones,No,,
T903,Sequelae of injury of cranial nerves,No,,
T904,Sequelae of injury of eye and orbit,No,,
T905,Sequelae of intracranial injury,No,,
T908,Sequelae of other specified injuries of head,No,,
T909,Sequelae of unspecified injury of head,No,,
T910,Sequelae of superficial injury and open wound of neck and trunk,No,,
T911,Sequelae of fracture of spine,Yes,1,
T912,Sequelae of other fracture of thorax and pelvis,No,,
T913,Sequelae of injury of spinal cord,Yes,1,
T914,Sequelae of injury of intrathoracic organs,No,,
T915,Sequelae of injury of intra-abdominal and pelvic organs,No,,
T918,Sequelae of other specified injuries of neck and trunk,Yes,2,
T919,Sequelae of unspecified injury of neck and trunk,Yes,2,
T920,Sequelae of open wound of upper limb,No,,
T921,Sequelae of fracture of arm,No,,
T922,Sequelae of fracture at wrist and hand level,No,,
T923,"Sequelae of dislocation, sprain and strain of upper limb",No,,
T924,Sequelae of injury of nerve of upper limb,No,,
T925,Sequelae of injury of muscle and tendon of upper limb,No,,
T926,Sequelae of crushing injury and traumatic amputation of upper limb,No,,
T928,Sequelae of other specified injuries of upper limb,No,,
T929,Sequelae of unspecified injury of upper limb,No,,
T930,Sequelae of open wound of lower limb,No,,
T931,Sequelae of fracture of femur,No,,
T932,Sequelae of other fractures of lower limb,No,,
T933,"Sequelae of dislocation, sprain and strain of lower limb",No,,
T934,Sequelae of injury of nerve of lower limb,No,,
T935,Sequelae of injury of muscle and tendon of lower limb,No,,
T936,Sequelae of crushing injury and traumatic amputation of lower limb,No,,
T938,Sequelae of other specified injuries of lower limb,No,,
T939,Sequelae of unspecified injury of lower limb,No,,
T940,Sequelae of injuries involving multiple body regions,No,,
T941,"Sequelae of injuries, not specified by body region",No,,
T950,"Sequelae of burn, corrosion and frostbite of head and neck",Yes,2,
T951,"Sequelae of burn, corrosion and frostbite of trunk",No,,
T952,"Sequelae of burn, corrosion and frostbite of upper limb",No,,
T953,"Sequelae of burn, corrosion and frostbite of lower limb",No,,
T954,Sequelae of burn and corrosion classifiable only according to extent of body surface involved,No,,
T958,"Sequelae of other specified burn, corrosion and frostbite",No,,
T959,"Sequelae of unspecified burn, corrosion and frostbite",No,,
T96X,"Sequelae of poisoning by drugs, medicaments and biological substances",No,,
T97X,Sequelae of toxic effects of substances chiefly nonmedicinal as to source,No,,
T980,Sequelae of effects of foreign body entering through natural orifice,No,,
T981,Sequelae of other and unspecified effects of external causes,No,,
T982,Sequelae of certain early complications of trauma,No,,
T983,"Sequelae of complications of surgical and medical care, not elsewhere classified",No,,
U049,"Severe acute respiratory syndrome [SARS], unspecified",Yes,2,
U060,Emergency use of U06.0,No,,
U061,Emergency use of U06.1,No,,
U062,Emergency use of U06.2,No,,
U063,Emergency use of U06.3,No,,
U064,Emergency use of U06.4,No,,
U065,Emergency use of U06.5,No,,
U066,Emergency use of U06.6,No,,
U067,Emergency use of U06.7,No,,
U068,Emergency use of U06.8,No,,
U069,"Zika virus disease, unspecified",No,,
U070,Vaping-related disorder,No,,
U071,"COVID-19, virus identified",Yes,1,
U072,"COVID-19, virus not identified",Yes,1,
U073,Personal history of COVID-19,No,,
U074,Post COVID-19 condition,Yes,1,
U075,Multisystem inflammatory syndrome associated with COVID-19,Yes,1,
U076,Need for immunization against COVID-19,No,,
U077,COVID-19 vaccines causing adverse effects in therapeutic use,No,,
U078,Emergency use of U07.8,No,,
U079,Emergency use of U07.9,No,,
U820,Resistance to penicillin,No,,
U821,Resistance to methicillin,No,,
U822,Extended spectrum betalactamase (ESBL) resistance,No,,
U828,Resistance to other betalactam antibiotics,No,,
U829,"Resistance to betalactam antibiotics, unspecified",No,,
U830,Resistance to vancomycin,No,,
U831,Resistance to other vancomycin related antibiotics,No,,
U832,Resistance to quinolones,No,,
U837,Resistance to multiple antibiotics,No,,
U838,Resistance to other single specified antibiotic,No,,
U839,Resistance to unspecified antibiotic,No,,
U840,Resistance to antiparasitic drug(s),No,,
U841,Resistance to antifungal drug(s),No,,
U842,Resistance to antiviral drug(s),No,,
U843,Resistance to tuberculostatic drug(s),No,,
U847,Resistance to multiple antimicrobial drugs,No,,
U848,Resistance to other specified antimicrobial drug,No,,
U849,Resistance to unspecified antimicrobial drugs,No,,
U85X,Resistance to antineoplastic drugs,No,,
V010,Pedestrian injured in collision with pedal cycle: Nontraffic accident,No,,
V011,Pedestrian injured in collision with pedal cycle: Traffic accident,No,,
V019,Pedestrian injured in collision with pedal cycle: Unspecified whether traffic or nontraffic accident,No,,
V020,Pedestrian injured in collision with two- or three-wheeled motor vehicle: Nontraffic accident,No,,
V021,Pedestrian injured in collision with two- or three-wheeled motor vehicle: Traffic accident,No,,
V029,Pedestrian injured in collision with two- or three-wheeled motor vehicle: Unspecified whether traffic or nontraffic accident,No,,
V030,"Pedestrian injured in collision with car, pick-up truck or van: Nontraffic accident",No,,
V031,"Pedestrian injured in collision with car, pick-up truck or van: Traffic accident",No,,
V039,"Pedestrian injured in collision with car, pick-up truck or van: Unspecified whether traffic or nontraffic accident",No,,
V040,Pedestrian injured in collision with heavy transport vehicle or bus: Nontraffic accident,No,,
V041,Pedestrian injured in collision with heavy transport vehicle or bus: Traffic accident,No,,
V049,Pedestrian injured in collision with heavy transport vehicle or bus: Unspecified whether traffic or nontraffic accident,No,,
V050,Pedestrian injured in collision with railway train or railway vehicle: Nontraffic accident,No,,
V051,Pedestrian injured in collision with railway train or railway vehicle: Traffic accident,No,,
V059,Pedestrian injured in collision with railway train or railway vehicle: Unspecified whether traffic or nontraffic accident,No,,
V060,Pedestrian injured in collision with other nonmotor vehicle: Nontraffic accident,No,,
V061,Pedestrian injured in collision with other nonmotor vehicle: Traffic accident,No,,
V069,Pedestrian injured in collision with other nonmotor vehicle: Unspecified whether traffic or nontraffic accident,No,,
V090,Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles,No,,
V091,Pedestrian injured in unspecified nontraffic accident,No,,
V092,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,No,,
V093,Pedestrian injured in unspecified traffic accident,No,,
V099,Pedestrian injured in unspecified transport accident,No,,
V100,Pedal cyclist injured in collision with pedestrian or animal: Driver injured in nontraffic accident,No,,
V101,Pedal cyclist injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,No,,
V102,Pedal cyclist injured in collision with pedestrian or animal: Unspecified pedal cyclist injured in nontraffic accident,No,,
V103,Pedal cyclist injured in collision with pedestrian or animal: Person injured while boarding or alighting,No,,
V104,Pedal cyclist injured in collision with pedestrian or animal: Driver injured in traffic accident,No,,
V105,Pedal cyclist injured in collision with pedestrian or animal: Passenger injured in traffic accident,No,,
V109,Pedal cyclist injured in collision with pedestrian or animal: Unspecified pedal cyclist injured in traffic accident,No,,
V110,Pedal cyclist injured in collision with other pedal cycle: Driver injured in nontraffic accident,No,,
V111,Pedal cyclist injured in collision with other pedal cycle: Passenger injured in nontraffic accident,No,,
V112,Pedal cyclist injured in collision with other pedal cycle: Unspecified pedal cyclist injured in nontraffic accident,No,,
V113,Pedal cyclist injured in collision with other pedal cycle: Person injured while boarding or alighting,No,,
V114,Pedal cyclist injured in collision with other pedal cycle: Driver injured in traffic accident,No,,
V115,Pedal cyclist injured in collision with other pedal cycle: Passenger injured in traffic accident,No,,
V119,Pedal cyclist injured in collision with other pedal cycle: Unspecified pedal cyclist injured in traffic accident,No,,
V120,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,No,,
V121,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,No,,
V122,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Unspecified pedal cyclist injured in nontraffic accident,No,,
V123,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,No,,
V124,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,No,,
V125,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,No,,
V129,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle: Unspecified pedal cyclist injured in traffic accident,No,,
V130,"Pedal cyclist injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",No,,
V131,"Pedal cyclist injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",No,,
V132,"Pedal cyclist injured in collision with car, pick-up truck or van: Unspecified pedal cyclist injured in nontraffic accident",No,,
V133,"Pedal cyclist injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",No,,
V134,"Pedal cyclist injured in collision with car, pick-up truck or van: Driver injured in traffic accident",No,,
V135,"Pedal cyclist injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",No,,
V139,"Pedal cyclist injured in collision with car, pick-up truck or van: Unspecified pedal cyclist injured in traffic accident",No,,
V140,Pedal cyclist injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,No,,
V141,Pedal cyclist injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,No,,
